W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts
4.8983285412618685,3.5833660916281818,4.696702990037572,4.926452504780239,2.540327804730799,8.862077056976585,7.884196244232394e-05,6.71192758634499e-12,6.1517809364401195e-12,28.9642,0.00229092
4.918980598216947,4.870143943280462,1.6776721922122682,1.279988693245222,2.934175023201006,4.636500096414164,2.6744129488373657e-05,7.944617926973124e-12,3.804698652626481e-12,30.4638,0.000668649
4.827401623116161,4.557581622755757,1.2186175319630435,3.956612949040492,3.5028559048909473,2.7737211405138398,3.859138923456276e-05,1.8995416007521345e-12,5.770158430546283e-12,31.2153,0.000473624
1.534103866467095,4.927477708543641,4.402005509576535,4.46233120810548,2.11600113816293,8.874202835158567,3.350365166267149e-05,2.318845550199171e-12,1.303658376861719e-12,28.8177,0.000747585
4.469719621410272,2.2641364300722295,4.960354780053713,1.3220351027535915,2.3957849302640364,5.0640324718754295,1.918787703484942e-05,6.979436781119085e-12,3.3368933237609317e-12,23.2483,0.0116624
1.0071697010500484,1.0520295526942123,2.2371770250176475,4.999327909036963,2.8054993644992683,9.360349617091646,2.1785133830877087e-05,6.978493647241984e-12,7.871107636345512e-12,29.1211,0.0018415
1.852199744178947,4.741882401317122,1.2545356225387714,4.6638809341324095,3.70796279059474,9.934202025008036,8.886514131530422e-05,6.841962863280675e-12,7.871773942072838e-12,29.8979,0.000956786
4.924734392133918,1.5147817135458372,1.201318086692977,3.665094161428236,2.5616947286626823,2.1351012885177054,3.5433296168567255e-05,5.0414064098355494e-12,6.601625657198764e-12,29.7348,0.00102091
4.561311526898901,4.979030076737599,4.7195120576864,4.0450233842813486,4.727171716318746,9.857487211782782,8.211799022433456e-05,2.103422903769863e-12,5.028722961940725e-12,29.2802,0.000994742
4.948639124908179,2.858835177920329,1.0044278793139867,4.683582945074286,3.8189024884981713,4.211555856761621,9.355990508145107e-05,9.054435422118902e-12,5.758972230047171e-12,30.8832,0.000634729
1.9326796430657325,2.768587181454835,1.317499931693634,1.2246203534901778,2.0704770972654236,9.868397659932157,7.309577798736597e-05,8.561254677618282e-12,5.8565704123874745e-12,29.8213,0.00118295
1.0483998754861585,4.750901730071007,1.0539825937114515,1.0758462367666617,5.085570888285208,9.700624016092323,2.864765449139005e-05,9.590840925339216e-12,9.064085074306008e-12,30.194,0.000908152
4.933915755639896,4.926045816758481,1.1484449629010443,3.210094745270966,4.2069492012788166,4.071457209217595,4.678654847008578e-05,7.295137835458063e-12,8.184332404749784e-12,30.7709,0.000725428
